Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Age_band_of_casualty,Cause_of_accident,Accident_severity
18-30,Employee,1-2yr,Residential areas,,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,Moving Backward,Slight Injury
31-50,Employee,Above 10yr,Office areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Overtaking,Slight Injury
18-30,Employee,1-2yr,  Recreational areas,other,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,31-50,Changing lane to the left,Serious Injury
18-30,Employee,5-10yr,Office areas,other,Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,18-30,Changing lane to the right,Slight Injury
18-30,Employee,2-5yr, Industrial areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Overtaking,Slight Injury
31-50,Unknown,,,,Y Shape,,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,Driver or rider,31-50,Overloading,Slight Injury
18-30,Employee,2-5yr,Residential areas,Undivided Two way,Crossing,,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,18-30,Other,Slight Injury
18-30,Employee,2-5yr,Residential areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,na,na,No priority to vehicle,Slight Injury
18-30,Employee,Above 10yr, Industrial areas,other,Y Shape,Earth roads,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Pedestrian,Under 18,Changing lane to the right,Slight Injury
18-30,Employee,1-2yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,Passenger,18-30,Moving Backward,Serious Injury
18-30,Owner,1-2yr,Residential areas,other,No junction,Asphalt roads,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,Changing lane to the left,Serious Injury
31-50,Employee,No Licence,Office areas,Undivided Two way,No junction,Earth roads,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,18-30,No priority to pedestrian,Serious Injury
18-30,Employee,1-2yr,Office areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with animals,2,2,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,5-10yr,Office areas,other,No junction,Asphalt roads,Daylight,Normal,Collision with animals,2,2,Waiting to go,na,na,No priority to vehicle,Slight Injury
31-50,Employee,Above 10yr,Office areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,2,2,Going straight,Driver or rider,18-30,No distancing,Serious Injury
18-30,Employee,Above 10yr,Office areas,One way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,No distancing,Serious Injury
18-30,Owner,5-10yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,Moving Backward,Slight Injury
18-30,Employee,2-5yr,Office areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,na,na,Changing lane to the right,Serious Injury
18-30,Employee,2-5yr,Residential areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,na,na,No priority to pedestrian,Slight Injury
18-30,Employee,Below 1yr,Residential areas,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Under 18,Moving Backward,Serious Injury
Under 18,Employee,2-5yr,Other,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,2,1,Going straight,na,na,Getting off the vehicle improperly,Slight Injury
18-30,Employee,2-5yr, Church areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,1,1,Moving Backward,Driver or rider,18-30,Overtaking,Serious Injury
18-30,Employee,5-10yr,  Recreational areas,other,Y Shape,Asphalt roads,Daylight,Normal,Other,2,1,Getting off,Passenger,31-50,Overloading,Serious Injury
31-50,Employee,Above 10yr, Industrial areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Rollover,2,1,Reversing,Passenger,18-30,Changing lane to the right,Serious Injury
18-30,Unknown,,Residential areas,other,Crossing,Asphalt roads with some distress,Daylight,Normal,Collision with animals,2,3,Turnover,na,na,Improper parking,Slight Injury
18-30,Employee,2-5yr,Residential areas,other,Crossing,Asphalt roads,Daylight,Normal,Rollover,2,3,Going straight,Driver or rider,31-50,Other,Slight Injury
18-30,Employee,5-10yr,Office areas,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with animals,2,3,Going straight,Pedestrian,Under 18,Changing lane to the left,Slight Injury
18-30,Employee,2-5yr,  Market areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,1,1,Going straight,na,na,Changing lane to the right,Slight Injury
Over 51,Unknown,,Unknown,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,31-50,No priority to pedestrian,Slight Injury
18-30,Employee,1-2yr, Industrial areas,other,No junction,Asphalt roads,Daylight,Normal,Fall from vehicles,2,1,Going straight,Driver or rider,18-30,Overspeed,Slight Injury
18-30,Employee,2-5yr,Residential areas,Two-way (divided with solid lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,na,na,Changing lane to the left,Slight Injury
18-30,Employee,Above 10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,Driver or rider,18-30,No priority to vehicle,Slight Injury
18-30,Employee,Below 1yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Rollover,2,1,Reversing,Passenger,18-30,Changing lane to the right,Slight Injury
31-50,Employee,2-5yr,Residential areas,other,No junction,Asphalt roads,Daylight,Normal,Collision with animals,2,1,Turnover,na,na,No distancing,Slight Injury
Over 51,Employee,Below 1yr,Rural village areas,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,18-30,No priority to pedestrian,Slight Injury
18-30,Employee,5-10yr,Rural village areas,Undivided Two way,O Shape,Asphalt roads,Daylight,Normal,Fall from vehicles,2,1,Going straight,Pedestrian,Under 18,No distancing,Slight Injury
18-30,Employee,1-2yr,Office areas,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,na,na,No priority to vehicle,Slight Injury
